name,url,date,wins,cluster
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-12-14,12,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-12-21,13,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1975-02-08,14,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1975-08-30,15,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1975-12-13,16,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1976-04-10,17,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1976-05-22,18,1
Lee Canalito,http://boxrec.com/boxer/27620,1977-01-29,1,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1977-03-05,19,1
Lee Canalito,http://boxrec.com/boxer/27620,1977-03-20,2,0
Lee Canalito,http://boxrec.com/boxer/27620,1977-04-16,3,0
Lee Canalito,http://boxrec.com/boxer/27620,1977-05-07,4,0
Kenny Klingman,http://boxrec.com/boxer/97575,1977-10-15,1,0
Kenny Klingman,http://boxrec.com/boxer/97575,1977-10-23,2,0
Calvin Cross,http://boxrec.com/boxer/22275,1977-10-25,1,0
Kenny Klingman,http://boxrec.com/boxer/97575,1977-10-29,3,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1977-11-19,20,1
Calvin Cross,http://boxrec.com/boxer/22275,1978-01-23,2,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-02-21,4,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-03-16,5,0
Calvin Cross,http://boxrec.com/boxer/22275,1978-03-20,3,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-04-14,6,0
Calvin Cross,http://boxrec.com/boxer/22275,1978-04-27,4,0
Calvin Cross,http://boxrec.com/boxer/22275,1978-05-08,5,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-05-19,7,0
John Lee,http://boxrec.com/boxer/35611,1978-06-10,1,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-06-20,8,0
John Lee,http://boxrec.com/boxer/35611,1978-07-11,2,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-07-18,9,2
Calvin Cross,http://boxrec.com/boxer/22275,1978-07-24,6,0
Calvin Cross,http://boxrec.com/boxer/22275,1978-08-28,7,0
John Lee,http://boxrec.com/boxer/35611,1978-08-28,3,0
John Lee,http://boxrec.com/boxer/35611,1978-09-19,4,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-09-26,10,2
Calvin Cross,http://boxrec.com/boxer/22275,1978-09-27,8,0
John Lee,http://boxrec.com/boxer/35611,1978-10-03,5,0
Calvin Cross,http://boxrec.com/boxer/22275,1978-10-06,9,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1978-10-07,21,1
Jimmy Connelly,http://boxrec.com/boxer/63403,1978-10-13,1,0
Dave Williams,http://boxrec.com/boxer/154826,1978-10-14,1,0
Kenny Klingman,http://boxrec.com/boxer/97575,1978-10-31,11,2
John Lee,http://boxrec.com/boxer/35611,1978-11-01,6,0
John Lee,http://boxrec.com/boxer/35611,1978-11-14,7,0
Dave Williams,http://boxrec.com/boxer/154826,1978-11-24,2,0
Lee Canalito,http://boxrec.com/boxer/27620,1978-12-05,5,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1978-12-26,2,0
Kenny Klingman,http://boxrec.com/boxer/97575,1979-01-13,12,2
Dave Williams,http://boxrec.com/boxer/154826,1979-02-10,3,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1979-02-14,3,0
John Lee,http://boxrec.com/boxer/35611,1979-02-15,8,0
Lee Canalito,http://boxrec.com/boxer/27620,1979-02-19,6,0
Kenny Klingman,http://boxrec.com/boxer/97575,1979-03-05,13,2
Lee Canalito,http://boxrec.com/boxer/27620,1979-03-16,7,0
Dave Williams,http://boxrec.com/boxer/154826,1979-03-31,4,0
John Lee,http://boxrec.com/boxer/35611,1979-04-12,9,2
Dave Williams,http://boxrec.com/boxer/154826,1979-04-21,5,0
John Lee,http://boxrec.com/boxer/35611,1979-05-01,10,2
John Lee,http://boxrec.com/boxer/35611,1979-05-04,11,2
Jimmy Connelly,http://boxrec.com/boxer/63403,1979-05-11,4,0
Dave Williams,http://boxrec.com/boxer/154826,1979-05-25,6,0
John Lee,http://boxrec.com/boxer/35611,1979-06-05,12,2
Johnny Compo,http://boxrec.com/boxer/23304,1979-06-22,1,0
Dave Williams,http://boxrec.com/boxer/154826,1979-06-30,7,0
Johnny Compo,http://boxrec.com/boxer/23304,1979-07-20,2,0
Kenny Klingman,http://boxrec.com/boxer/97575,1979-07-20,14,2
Johnny Compo,http://boxrec.com/boxer/23304,1979-08-24,3,0
Kenny Klingman,http://boxrec.com/boxer/97575,1979-08-24,15,2
Dave Williams,http://boxrec.com/boxer/154826,1979-09-21,8,0
Johnny Compo,http://boxrec.com/boxer/23304,1979-09-25,4,0
Johnny Compo,http://boxrec.com/boxer/23304,1979-10-05,5,0
Kenny Klingman,http://boxrec.com/boxer/97575,1979-10-05,16,2
Dave Williams,http://boxrec.com/boxer/154826,1979-10-27,9,2
John Lee,http://boxrec.com/boxer/35611,1979-10-30,13,2
Lee Canalito,http://boxrec.com/boxer/27620,1979-11-09,8,0
Dave Williams,http://boxrec.com/boxer/154826,1979-11-10,10,2
Johnny Compo,http://boxrec.com/boxer/23304,1979-11-20,6,0
Dave Williams,http://boxrec.com/boxer/154826,1979-12-14,11,2
